ID;URI;German Name;German Synonyms;English Name;English Synonyms;Wikidata ID;GND ID (male);GND ID (female);GND ID (group);AAT ID;Parent Role;German Breadcrumb;English Breadcrumb;"Pre-selects ""ist Urheber:in"" automatically";"Pre-selects ""besitzt Leistungsschutzrechte"" automatically"
68;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-68;Filmproduzent:in;Produzentin,Produzent,Filmproduzentin,Filmproduzent;film producer;;Q3282637;4324247-9;4472639-9;;;;Filmproduzent:in;film producer;0;1
69;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-69;Folkloremusiker:in;Folkloremusikerin,Folkloremusiker;folk musician;;Q101084010;;;;;;Folkloremusiker:in;folk musician;0;0
70;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-70;Fotograf:in;Fotografin,Fotograf;photographer;;Q33231;4045893-3;4262252-9;;300025687;;Fotograf:in;photographer;0;0
71;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-71;Fotograf:in (Film);Fotografin (Film),Fotograf (Film);still photographer;;Q20743434;;;;300025699;70;Fotograf:in > Fotograf:in (Film);photographer > still photographer;0;0
72;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-72;Foto-Künstler:in;Foto-Künstlerin,Foto-Künstler;art photographer;;Q12166078;;;;300435143;70;Fotograf:in > Foto-Künstler:in;photographer > art photographer;1;0
73;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-73;Gerichtsvollzieher:in;Betreibungsbeamtin,Betreibungsbeamter,Gerichtsvollzieherin,Gerichtsvollzieher;bailiff;court bailiff;Q2005653;4020360-8;;;;;Gerichtsvollzieher:in;bailiff;0;0
74;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-74;Gesangslehrer:in;Gesangslehrerin,Gesangslehrer,Gesangspädagog:in,Gesangspädagogin,Gesangspädagoge;voice teacher;singing teacher;Q7939609;7628966-7;7628964-3;;;;Gesangslehrer:in;voice teacher;0;0
75;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-75;Gewandmeister:in;Gewandmeisterin,Gewandmeister;wardrobe master;wardrobe supervisor,head of wardrobe department;Q96036333;;;;;;Gewandmeister:in;wardrobe master;0;0
76;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-76;Grip;;grip;;Q3274496;;;;;;Grip;grip;0;0
77;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-77;Händler:in;Kaufmann,Kauffrau,Händlerin,Händler;trader;dealer,merchant;Q3704253;4221401-4;4158695-5;;300025236;;Händler:in;trader;0;0
78;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-78;Autohändler:in;Autohändlerin,Autohändler;car dealer;car salesperson;Q21422876;;;;;77;Händler:in > Autohändler:in;trader > car dealer;0;0
79;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-79;Fahrradhändler:in;Fahrradhändlerin,Fahrradhändler;bicycle dealer;;Q123095338;;;;;77;Händler:in > Fahrradhändler:in;trader > bicycle dealer;0;0
80;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-80;Musikalienhändler:in;Musikalienhändlerin,Musikalienhändler;music dealer;music merchant;Q1955056;;;;;77;Händler:in > Musikalienhändler:in;trader > music dealer;0;0
81;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-81;Schreibwarenhändler:in;Schreibwarenhändlerin,Schreibwarenhändler;stationer;;Q24309558;;;;300312195;77;Händler:in > Schreibwarenhändler:in;trader > stationer;0;0
82;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-82;Hersteller:in;Herstellerin,Hersteller,Produzentin,Produzent;manufacturer;;Q13235160;4175820-1;4465426-1;;300025230;;Hersteller:in;manufacturer;0;0
83;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-83;Historiker:in;Historiografin,Historiograf,Geschichtswissenschaftlerin,Geschichtswissenschaftler,Geschichtsforscherin,Geschichtsforscher,Historikerin,Historiker;historian;;Q201788;4025098-2;4333423-4;;300025539;;Historiker:in;historian;0;0
84;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-84;Holzbläser:in;Holzbläserin,Holzbläser;woodwind player;;Q25616474;;;;;;Holzbläser:in;woodwind player;0;1
85;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-85;Blockflötist:in;Blockflötistin,Blockflötist;recorder player;;Q3074722;7591635-6;7622250-0;;;84;Holzbläser:in > Blockflötist:in;woodwind player > recorder player;0;1
86;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-86;Dudelsackspieler:in;Sackpfeifenspielerin,Sackpfeifenspieler,Dudelsackspielerin,Dudelsackspieler;bagpiper;;Q21550382;4387942-1;;;;84;Holzbläser:in > Dudelsackspieler:in;woodwind player > bagpiper;0;1
87;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-87;Fagottist:in;Fagottistin,Fagottist;bassoonist;;Q12310971;4738419-0;7553307-8;;;84;Holzbläser:in > Fagottist:in;woodwind player > bassoonist;0;1
88;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-88;Flötist:in;Flötistin,Flötist;flutist;;Q12902372;4126534-8;7553310-8;;300235053;84;Holzbläser:in > Flötist:in;woodwind player > flutist;0;1
89;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-89;Piccoloflötist:in;Piccoloflötistin,Piccoloflötist;piccolo player;;Q107888647;;;;;88;Holzbläser:in > Flötist:in > Piccoloflötist:in;woodwind player > flutist > piccolo player;0;1
90;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-90;Klarinettist:in;Klarinettistin,Klarinettist;clarinetist;;Q118865;4749746-4;7553335-2;;300235050;84;Holzbläser:in > Klarinettist:in;woodwind player > clarinetist;0;1
91;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-91;Oboist:in;Oboistin,Oboist;oboist;;Q16003954;4442748-7;4842456-0;;300235062;84;Holzbläser:in > Oboist:in;woodwind player > oboist;0;1
92;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-92;Saxofonist:in;Saxofonistin,Saxofonist;saxophonist;;Q12800682;4179251-8;4688165-7;;;84;Holzbläser:in > Saxofonist:in;woodwind player > saxophonist;0;1
93;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-93;Altsaxofonist:in;Altsaxofonistin,Altsaxofonist;alto saxophonist;;Q123095690;;;;;92;Holzbläser:in > Saxofonist:in > Altsaxofonist:in;woodwind player > saxophonist > alto saxophonist;0;1
94;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-94;Baritonsaxofonist:in;Baritonsaxofonistin,Baritonsaxofonist;baritone saxophonist;;Q21504965;;;;;92;Holzbläser:in > Saxofonist:in > Baritonsaxofonist:in;woodwind player > saxophonist > baritone saxophonist;0;1
95;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-95;Basssaxofonist:in;Basssaxofonistin,Basssaxofonist;bass saxophonist;;Q123095868;;;;;92;Holzbläser:in > Saxofonist:in > Basssaxofonist:in;woodwind player > saxophonist > bass saxophonist;0;1
96;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-96;Mezzosopran-Saxofonist:in;Mezzosopran-Saxofonistin,Mezzosopran-Saxofonist;mezzo-soprano saxophonist;;Q123096026;;;;;92;Holzbläser:in > Saxofonist:in > Mezzosopran-Saxofonist:in;woodwind player > saxophonist > mezzo-soprano saxophonist;0;1
97;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-97;Sopransaxofonist:in;Sopransaxofonistin,Sopransaxofonist;soprano saxophonist;;Q123095821;;;;;92;Holzbläser:in > Saxofonist:in > Sopransaxofonist:in;woodwind player > saxophonist > soprano saxophonist;0;1
98;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-98;Tenorsaxofonist:in;Tenorsaxofonistin,Tenorsaxofonist;tenor saxophonist;;Q21504960;;;;;92;Holzbläser:in > Saxofonist:in > Tenorsaxofonist:in;woodwind player > saxophonist > tenor saxophonist;0;1
99;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-99;Impressario;;impresario;talent manager;Q943995;;;;;;Impressario;impresario;0;0
100;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-100;Ingenieur:in;Ingenieurin,Ingenieur;engineer;;Q81096;4026955-3;4192847-7;;300025063;;Ingenieur:in;engineer;0;0
101;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-101;Elektroingenieur:in;Elektroingenieurin,Elektroingenieur;electrical engineer;electric engineer;Q1326886;4151815-9;7627832-3;;300025079;100;Ingenieur:in > Elektroingenieur:in;engineer > electrical engineer;0;0
102;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-102;Instrumentalist:in;Instrumentalistin,Instrumentalist;instrumentalist;;Q1278335;;;;300162131;;Instrumentalist:in;instrumentalist;0;1
103;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-103;Intendant:in;Künstlerische Leiterin,Künstlerischer Leiter,Intendantin,Intendant;intendant;artistic director;Q60687737;;;;300386786;;Intendant:in;intendant;0;0
104;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-104;Interpret:in;Aufführende,Aufführender,Darstellerin,Darsteller,Interpretin,Interpret;performing artist;performer;Q713200;4162124-4;1042343527;;300068931;;Interpret:in;performing artist;0;1
105;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/roles#role-105;Journalist:in;Journalistin,Journalist;journalist;;Q1930187;4028781-6;4028786-5;;300025501;;Journalist:in;journalist;0;0
