ID;URI;English Name;German Name;Parent Organisational Unit;German Breadcrumb;English Breadcrumb;German Description;English Description
74;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-74;Study Programme Master of Music | Harp | Solist (M.Mus.);Studiengang Master of Music | Harfe | Solist (M.Mus.);44;Hochschule für Musik Detmold > Studiengang Master of Music | Harfe | Solist (M.Mus.);Hochschule für Musik Detmold > Study Programme Master of Music | Harp | Solist (M.Mus.);;
75;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-75;Study Programme Master of Music | Catholic Church Music (M.Mus.);Studiengang Master of Music | Katholische Kirchenmusik (M.Mus.);44;Hochschule für Musik Detmold > Studiengang Master of Music | Katholische Kirchenmusik (M.Mus.);Hochschule für Musik Detmold > Study Programme Master of Music | Catholic Church Music (M.Mus.);;
76;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-76;Study Programme Master of Music | Organ | Solist (M.Mus.);Studiengang Master of Music | Orgel | Solist (M.Mus.);44;Hochschule für Musik Detmold > Studiengang Master of Music | Orgel | Solist (M.Mus.);Hochschule für Musik Detmold > Study Programme Master of Music | Organ | Solist (M.Mus.);;
77;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-77;Study Programme Master of Music | Organ | Chamber Music (M.Mus.);Studiengang Master of Music | Orgel | Kammermusik (M.Mus.);44;Hochschule für Musik Detmold > Studiengang Master of Music | Orgel | Kammermusik (M.Mus.);Hochschule für Musik Detmold > Study Programme Master of Music | Organ | Chamber Music (M.Mus.);;
78;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-78;Study Programme Master of Music | Organ | Music and Musicology (M.Mus.);Studiengang Master of Music | Orgel| Musik und Wissenschaft (M.Mus.);44;Hochschule für Musik Detmold > Studiengang Master of Music | Orgel| Musik und Wissenschaft (M.Mus.);Hochschule für Musik Detmold > Study Programme Master of Music | Organ | Music and Musicology (M.Mus.);;
79;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-79;Study Programme Master of Music | Saxophone | Solist (M.Mus.);Studiengang Master of Music | Saxophon | Solist (M.Mus.);44;Hochschule für Musik Detmold > Studiengang Master of Music | Saxophon | Solist (M.Mus.);Hochschule für Musik Detmold > Study Programme Master of Music | Saxophone | Solist (M.Mus.);;
80;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-80;Study Programme Master of Music | Saxophone | Chamber Music (M.Mus.);Studiengang Master of Music | Saxophon | Kammermusik (M.Mus.);44;Hochschule für Musik Detmold > Studiengang Master of Music | Saxophon | Kammermusik (M.Mus.);Hochschule für Musik Detmold > Study Programme Master of Music | Saxophone | Chamber Music (M.Mus.);;
81;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-81;Study Programme Master of Music | Saxophone | Music and Musicology (M.Mus.);Studiengang Master of Music | Saxophon | Musik und Wissenschaft (M.Mus.);44;Hochschule für Musik Detmold > Studiengang Master of Music | Saxophon | Musik und Wissenschaft (M.Mus.);Hochschule für Musik Detmold > Study Programme Master of Music | Saxophone | Music and Musicology (M.Mus.);;
82;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-82;Centre for Music and Film Informatics;Zentrum für Musik- und Filminformatik;44;Hochschule für Musik Detmold > Zentrum für Musik- und Filminformatik;Hochschule für Musik Detmold > Centre for Music and Film Informatics;;
83;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-83;Hochschule für Musik und Tanz Köln;Hochschule für Musik und Tanz Köln;;Hochschule für Musik und Tanz Köln;Hochschule für Musik und Tanz Köln;;
84;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-84;Institute for Early Music;Institut für Alte Musik;83;Hochschule für Musik und Tanz Köln > Institut für Alte Musik;Hochschule für Musik und Tanz Köln > Institute for Early Music;;
85;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-85;Institute for Historic Musicology;Institut für Historische Musikwissenschaft;83;Hochschule für Musik und Tanz Köln > Institut für Historische Musikwissenschaft;Hochschule für Musik und Tanz Köln > Institute for Historic Musicology;;
86;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-86;Institute for New Music;Institut für Neue Musik;83;Hochschule für Musik und Tanz Köln > Institut für Neue Musik;Hochschule für Musik und Tanz Köln > Institute for New Music;;
87;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-87;Cologne Institute for Music Pedagogy Research;Kölner Institut für Musikpädagogische Forschung;83;Hochschule für Musik und Tanz Köln > Kölner Institut für Musikpädagogische Forschung;Hochschule für Musik und Tanz Köln > Cologne Institute for Music Pedagogy Research;;
88;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-88;Children's Choir of the University;Kinderchor der Hochschule;83;Hochschule für Musik und Tanz Köln > Kinderchor der Hochschule;Hochschule für Musik und Tanz Köln > Children's Choir of the University;;
89;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-89;Song Academy at the HfMT Köln;Liedakademie an der HfMT Köln;83;Hochschule für Musik und Tanz Köln > Liedakademie an der HfMT Köln;Hochschule für Musik und Tanz Köln > Song Academy at the HfMT Köln;;
90;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-90;Peter Oswald Institute;Peter-Ostwald-Institut;83;Hochschule für Musik und Tanz Köln > Peter-Ostwald-Institut;Hochschule für Musik und Tanz Köln > Peter Oswald Institute;;
91;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-91;Pre-College Cologne;Pre-College Cologne;83;Hochschule für Musik und Tanz Köln > Pre-College Cologne;Hochschule für Musik und Tanz Köln > Pre-College Cologne;;
92;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-92;Project EchoSpore;Projekt EchoSpore;83;Hochschule für Musik und Tanz Köln > Projekt EchoSpore;Hochschule für Musik und Tanz Köln > Project EchoSpore;;
