ID;URI;English Name;German Name;Parent Organisational Unit;German Breadcrumb;English Breadcrumb;German Description;English Description
118;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-118;Study Programme Master of Arts | Music Pedagogy (M.A.);Studiengang Master of Arts | Musikpädagogik (M.A.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Arts | Musikpädagogik (M.A.);Hochschule für Musik und Tanz Köln > Study Programme Master of Arts | Music Pedagogy (M.A.);;
119;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-119;Study Programme Master of Arts | Musicology (M.A.);Studiengang Master of Arts | Musikwissenschaft (M.A.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Arts | Musikwissenschaft (M.A.);Hochschule für Musik und Tanz Köln > Study Programme Master of Arts | Musicology (M.A.);;
120;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-120;Study Programme Master of Arts | Medition in Dance (M.A.);Studiengang Master of Arts | Tanzvermittlung (M.A.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Arts | Tanzvermittlung (M.A.);Hochschule für Musik und Tanz Köln > Study Programme Master of Arts | Medition in Dance (M.A.);;
121;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-121;Study Programme Master of Arts | Dance Studies (M.A.);Studiengang Master of Arts | Tanzwissenschaft (M.A.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Arts | Tanzwissenschaft (M.A.);Hochschule für Musik und Tanz Köln > Study Programme Master of Arts | Dance Studies (M.A.);;
122;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-122;Study Programme Master of Music | Wind Instruments (M.Mus.);Studiengang Master of Music | Blasinstrumente (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Blasinstrumente (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Wind Instruments (M.Mus.);;
123;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-123;Study Programme Master of Music | Choral Conducting (M.Mus.);Studiengang Master of Music | Dirigieren Chor (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Dirigieren Chor (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Choral Conducting (M.Mus.);;
124;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-124;Study Programme Master of Music | Conducting Musical Theatre  (M.Mus.);Studiengang Master of Music | Dirigieren Musiktheater  (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Dirigieren Musiktheater  (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Conducting Musical Theatre  (M.Mus.);;
125;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-125;Study Programme Master of Music | Conducting Orchestra (M.Mus.);Studiengang Master of Music| Dirigieren Orchester (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Dirigieren Orchester (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Conducting Orchestra (M.Mus.);;
126;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-126;Study Programme Master of Music | Conducting Contemporary Music (M.Mus.);Studiengang Master of Music| Dirigieren Zeitgenössische Musik (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Dirigieren Zeitgenössische Musik (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Conducting Contemporary Music (M.Mus.);;
127;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-127;Study Programme Master of Music | Electronic Composition (M.Mus.);Studiengang Master of Music | Elektronische Komposition (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Elektronische Komposition (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Electronic Composition (M.Mus.);;
128;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-128;Study Programme Master of Music | Church Music (Protestant) (M.Mus.);Studiengang Master of Music | Evangelische Kirchenmusik (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Evangelische Kirchenmusik (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Church Music (Protestant) (M.Mus.);;
129;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-129;Study Programme Master of Music | Voice Song/Concert (M.Mus.);Studiengang Master of Music | Gesang Lied/Konzert (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Gesang Lied/Konzert (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Voice Song/Concert (M.Mus.);;
130;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-130;Study Programme Master of Music | Voice Music Theatre (M.Mus.);Studiengang Master of Music | Gesang Musiktheater (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Gesang Musiktheater (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Voice Music Theatre (M.Mus.);;
131;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-131;Study Programme Master of Music | Guitar (M.Mus.);Studiengang Master of Music | Gitarre (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Gitarre (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Guitar (M.Mus.);;
132;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-132;Study Programme Master of Music | Harp (M.Mus.);Studiengang Master of Music | Harfe (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Harfe (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Harp (M.Mus.);;
133;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-133;Study Programme Master of Music | Historische Instrumente und Barockgesang (M.Mus.);Studiengang Master of Music | Historische Instrumente und Barockgesang (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Historische Instrumente und Barockgesang (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Historische Instrumente und Barockgesang (M.Mus.);;
134;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-134;Study Programme Master of Music | Instrumental Composition (M.Mus.);Studiengang Master of Music | Instrumentale Komposition (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Instrumentale Komposition (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Instrumental Composition (M.Mus.);;
135;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-135;Study Programme Master of Music | Interpretation New Music (M.Mus.);Studiengang Master of Music | Interpretation Neue Musik (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Interpretation Neue Musik (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Interpretation New Music (M.Mus.);;
136;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-136;Study Programme Master of Music | Jazz Composition/Arrangement (M.Mus.);Studiengang Master of Music | Jazz-Komposition/Arrangement (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Jazz-Komposition/Arrangement (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Jazz Composition/Arrangement (M.Mus.);;
137;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-137;Study Programme Master of Music | Jazz/Pop Instrumental/Vocal (M.Mus.);Studiengang Master of Music | Jazz/Pop Instrumental/Vokal (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Jazz/Pop Instrumental/Vokal (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Jazz/Pop Instrumental/Vocal (M.Mus.);;
138;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-138;Study Programme Master of Music | Chamber Music (M.Mus.);Studiengang Master of Music | Kammermusik (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Kammermusik (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Chamber Music (M.Mus.);;
139;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-139;Study Programme Master of Music | Church Music (Catholic) (M.Mus.);Studiengang Master of Music | Katholische Kirchenmusik (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Katholische Kirchenmusik (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Church Music (Catholic) (M.Mus.);;
140;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-140;Study Programme Master of Music | Piano (M.Mus.);Studiengang Master of Music | Klavier (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Klavier (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Piano (M.Mus.);;
141;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-141;Study Programme Master of Music | Song Interpretation for Pianists (M.Mus.);Studiengang Master of Music | Liedgestaltung (Klavier) (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Liedgestaltung (Klavier) (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Song Interpretation for Pianists (M.Mus.);;
142;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-142;Study Programme Master of Music | Mandolin (M.Mus.);Studiengang Master of Music | Mandoline (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Mandoline (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Mandolin (M.Mus.);;
143;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-143;Study Programme Master of Music | Modern Piano Music (M.Mus.);Studiengang Master of Music | Neue Klaviermusik (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Neue Klaviermusik (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Modern Piano Music (M.Mus.);;
144;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-144;Study Programme Master of Music | Opera Correpetition (M.Mus.);Studiengang Master of Music | Opernkorrepetition (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Opernkorrepetition (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Opera Correpetition (M.Mus.);;
145;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-145;Study Programme Master of Music | Orchestral Playing (M.Mus.);Studiengang Master of Music | Orchesterspiel (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Orchesterspiel (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Orchestral Playing (M.Mus.);;
146;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-146;Study Programme Master of Music | Organ (M.Mus.);Studiengang Master of Music | Orgel (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Orgel (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Organ (M.Mus.);;
147;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-147;Study Programme Master of Music | Production (M.Mus.);Studiengang Master of Music | Production (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Production (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Production (M.Mus.);;
148;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-148;Study Programme Master of Music | Percussion/Timpani (M.Mus.);Studiengang Master of Music | Schlagzeug/Pauke (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Schlagzeug/Pauke (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Percussion/Timpani (M.Mus.);;
149;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-149;Study Programme Master of Music | String Instruments (M.Mus.);Studiengang Master of Music | Streichinstrumente (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Streichinstrumente (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | String Instruments (M.Mus.);;
150;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-150;Study Programme Master of Music | Music Theory (M.Mus.);Studiengang Master of Music | Tonsatz (M.Mus.);83;Hochschule für Musik und Tanz Köln > Studiengang Master of Music | Tonsatz (M.Mus.);Hochschule für Musik und Tanz Köln > Study Programme Master of Music | Music Theory (M.Mus.);;
151;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-151;Studio for Electronic Music;Studio für Elektronische Musik;83;Hochschule für Musik und Tanz Köln > Studio für Elektronische Musik;Hochschule für Musik und Tanz Köln > Studio for Electronic Music;;
152;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-152;Library Tape Archive;Tonbandarchiv der Bibliothek;83;Hochschule für Musik und Tanz Köln > Tonbandarchiv der Bibliothek;Hochschule für Musik und Tanz Köln > Library Tape Archive;;
153;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-153;Voc.Cologne;Voc.Cologne;83;Hochschule für Musik und Tanz Köln > Voc.Cologne;Hochschule für Musik und Tanz Köln > Voc.Cologne;;
154;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-154;Centre for Music Teacher Education in the Job;Zentrum  für MusiklehrerInnenbildung im Beruf;83;Hochschule für Musik und Tanz Köln > Zentrum  für MusiklehrerInnenbildung im Beruf;Hochschule für Musik und Tanz Köln > Centre for Music Teacher Education in the Job;;
155;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-155;Centre of Contemporary Dance;Zentrum für Zeitgenössischen Tanz;83;Hochschule für Musik und Tanz Köln > Zentrum für Zeitgenössischen Tanz;Hochschule für Musik und Tanz Köln > Centre of Contemporary Dance;;
156;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-156;Academy of Media Arts Cologne;Kunsthochschule für Medien Köln;;Kunsthochschule für Medien Köln;Academy of Media Arts Cologne;;
157;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-157;Archive for Media Arts, Academy of Media Arts Cologne (Project Archive);Archiv für mediale Künste (Projektarchiv);156;Kunsthochschule für Medien Köln > Archiv für mediale Künste (Projektarchiv);Academy of Media Arts Cologne > Archive for Media Arts, Academy of Media Arts Cologne (Project Archive);"Das Archiv für mediale Künste sammelt und archiviert die seit 1990 an der KHM entstandenen interdisziplinären künstlerischen Projekte sowie, in Form von audio-visuellen Aufzeichnungen, die medientheoretischen gesellschaftlichen Positionen und Diskurse, die durch die Lehrenden, Studierenden und deren Gäste an der KHM geführt wurden und werden.
Hierzu zählen über 4970 künstlerische Arbeiten von Studierenden, die im Projektarchiv verzeichnet sind, als Dokumentationen oder vollständige Werke vorliegen, sowie über 180, bereits erschlossene, im Kontext der KHM stattgefundenen Ausstellungen, Veranstaltungsreihen, Rundgänge, Konzerte, Symposien, künstlerisch und wissenschaftliche Forschungsarbeiten, die im Archiv in Form von Audio- und Video Aufzeichnungen, Filmen, Fotografien, Filmstils, Publikationen, E-Publikationen, Websites, Plakaten, Multiples und Flyern archiviert werden.Über die Website ist eine Auswahl der künstlerischen Projekte und bisherigen Veranstaltungen zugänglich.";The Archive for Media Arts collects and archives the interdisciplinary artistic projects created at the KHM since 1990 as well as, in the form of audio-visual recordings, the media-theoretical social positions and discourses that were and are conducted by teachers, students and their guests at the KHM. These include over 4970 artistic works by students, which are listed in the project archive, available as documentations or complete works, as well as over 180 exhibitions, series of events, tours, concerts, symposia, artistic and scientific research works that have already been catalogued in the context of the KHM, which are archived in the archive in the form of audio and video recordings, films, photographs, film styles, publications, e-publications, websites, posters, multiples and flyers, and a selection of the artistic projects and previous events is accessible via the website.
158;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-158;Archive for Media Arts, Academy of Media Arts Cologne (Event Archive);Archiv für mediale Künste (Veranstaltungsarchiv);156;Kunsthochschule für Medien Köln > Archiv für mediale Künste (Veranstaltungsarchiv);Academy of Media Arts Cologne > Archive for Media Arts, Academy of Media Arts Cologne (Event Archive);"Das Archiv für mediale Künste sammelt und archiviert die seit 1990 an der KHM entstandenen interdisziplinären künstlerischen Projekte sowie, in Form von audio-visuellen Aufzeichnungen, die medientheoretischen gesellschaftlichen Positionen und Diskurse, die durch die Lehrenden, Studierenden und deren Gäste an der KHM geführt wurden und werden.
Hierzu zählen über 4970 künstlerische Arbeiten von Studierenden, die im Projektarchiv verzeichnet sind, als Dokumentationen oder vollständige Werke vorliegen, sowie über 180, bereits erschlossene, im Kontext der KHM stattgefundenen Ausstellungen, Veranstaltungsreihen, Rundgänge, Konzerte, Symposien, künstlerisch und wissenschaftliche Forschungsarbeiten, die im Archiv in Form von Audio- und Video Aufzeichnungen, Filmen, Fotografien, Filmstils, Publikationen, E-Publikationen, Websites, Plakaten, Multiples und Flyern archiviert werden.Über die Website ist eine Auswahl der künstlerischen Projekte und bisherigen Veranstaltungen zugänglich.";The Archive for Media Arts collects and archives the interdisciplinary artistic projects created at the KHM since 1990 as well as, in the form of audio-visual recordings, the media-theoretical social positions and discourses that were and are conducted by teachers, students and their guests at the KHM. These include over 4970 artistic works by students, which are listed in the project archive, available as documentations or complete works, as well as over 180 exhibitions, series of events, tours, concerts, symposia, artistic and scientific research works that have already been catalogued in the context of the KHM, which are archived in the archive in the form of audio and video recordings, films, photographs, film styles, publications, e-publications, websites, posters, multiples and flyers, and a selection of the artistic projects and previous events is accessible via the website.
159;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-159;Media and Fine Art Diploma 1 | Undergraduate Course;Studiengang Mediale Künste | 9-semestriges Diplomstudium (grundständig, Diplom 1);156;Kunsthochschule für Medien Köln > Studiengang Mediale Künste | 9-semestriges Diplomstudium (grundständig, Diplom 1);Academy of Media Arts Cologne > Media and Fine Art Diploma 1 | Undergraduate Course;Das Diplomstudium Mediale Künste wird als 9-semestriges Studium (grundständig, Diplom 1) oder als 4-semestriges Studium (postgradual, Diplom 2) angeboten. Das Diplom Mediale Künste (Diplom 1 oder Diplom 2) der Kunsthochschule für Medien Köln ist im internationalen Kontext mit einem MFA (Master of Fine Arts) vergleichbar. (2024);The Diploma in Medial Arts is offered as a 9-semester program (undergraduate, Diploma 1) or as a 4-semester program (postgraduate, Diploma 2). The Diploma in Media Arts (Diplom 1 or Diplom 2) of the Academy of Media Arts Cologne is comparable to an MFA (Master of Fine Arts) in an international context. (2024)
160;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-160;Media and Fine Art Diploma 2 | Postgraduate Course;Studiengang Mediale Künste | 4-semestriges Diplomstudium (postgradual, Diplom 2);156;Kunsthochschule für Medien Köln > Studiengang Mediale Künste | 4-semestriges Diplomstudium (postgradual, Diplom 2);Academy of Media Arts Cologne > Media and Fine Art Diploma 2 | Postgraduate Course;Das Diplomstudium Mediale Künste wird als 9-semestriges Studium (grundständig, Diplom 1) oder als 4-semestriges Studium (postgradual, Diplom 2) angeboten. Das Diplom Mediale Künste (Diplom 1 oder Diplom 2) der Kunsthochschule für Medien Köln ist im internationalen Kontext mit einem MFA (Master of Fine Arts) vergleichbar. (2024);The Diploma in Medial Arts is offered as a 9-semester program (undergraduate, Diploma 1) or as a 4-semester program (postgraduate, Diploma 2). The Diploma in Media Arts (Diplom 1 or Diplom 2) of the Academy of Media Arts Cologne is comparable to an MFA (Master of Fine Arts) in an international context. (2024)
161;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-161;Doctoral Programme;Promotionsprogramm;156;Kunsthochschule für Medien Köln > Promotionsprogramm;Academy of Media Arts Cologne > Doctoral Programme;Das Promotionsprogramm der KHM bietet die Möglichkeit zur philosophischen Dissertation. Die Verbindung von künstlerischen Fragestellungen und wissenschaftlichen Methoden soll im Promotionsprogramm der KHM zu relevanten neuen Ergebnissen führen. Abgeschlossen wird – in Übereinstimmung mit der Gesetzgebung für die Kunsthochschulen des Landes NRW – mit einem universitätsgleichen, also wissenschaftlichen Dr. phil. im Fachgebiet Kunst- und Medienwissenschaften. (2024);The doctoral programme of the KHM offers the possibility of a philosophical dissertation. The combination of artistic questions and scientific methods should lead to relevant new results in the doctoral program of the KHM. The degree - in accordance with the legislation for art colleges in the state of North Rhine-Westphalia - is a university-equivalent, i.e. scientific, Dr. phil. in the subject area of art and media studies. (2024)
162;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-162;exMedia Department;Fächergruppe exMedia;156;Kunsthochschule für Medien Köln > Fächergruppe exMedia;Academy of Media Arts Cologne > exMedia Department;;
163;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-163;Film and Television Department;Fächergruppe Film und Fernsehen;156;Kunsthochschule für Medien Köln > Fächergruppe Film und Fernsehen;Academy of Media Arts Cologne > Film and Television Department;;
164;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-164;Art Department;Fächergruppe Kunst;156;Kunsthochschule für Medien Köln > Fächergruppe Kunst;Academy of Media Arts Cologne > Art Department;;
165;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-165;Art and Media Studies Department;Fächergruppe Kunst & Medienwissenschaften;156;Kunsthochschule für Medien Köln > Fächergruppe Kunst & Medienwissenschaften;Academy of Media Arts Cologne > Art and Media Studies Department;;
166;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-166;Media Design Department;Fächergruppe Mediengestaltung;156;Kunsthochschule für Medien Köln > Fächergruppe Mediengestaltung;Academy of Media Arts Cologne > Media Design Department;;
167;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/organisational-units#organisational-unit-167;Glasmoog – Space for Art & Discourse;Glasmoog – Raum für Kunst & Diskurs;156;Kunsthochschule für Medien Köln > Glasmoog – Raum für Kunst & Diskurs;Academy of Media Arts Cologne > Glasmoog – Space for Art & Discourse;"GLASMOOG ist ein Raum für zeitgenössische Kunst und ihre Bezugsfelder, der 2009 an der Kunsthochschule für Medien Köln (KHM) gegründet wurde. Das Programm verbindet regionale und internationale, bekannte und weniger bekannte künstlerische Positionen und flankiert, mit Blick auf die medialen Künste, die an der KHM verfolgten Fragestellungen und Diskurse.

Mit seiner knapp 80 qm messenden Ausstellungsfläche bietet GLASMOOG eine durch zwei große Schaufenster geprägte klare räumliche Situation. In der Benennung des Raums nach der vormals hier angesiedelten Glaserei der Familie Moog („Glas Moog“) spiegelt sich der ehemals von Handwerk und Handel geprägte Charakter des Viertels, in das die Kunsthochschule sich mit ihren Ateliers, Laboren, Werkstätten und Studios seit ihrer Gründung 1989 rhizomatisch eingeschrieben hat. Darüber hinaus beinhaltet der Name eine transatlantische Reverenz an Bob Moog, einen der großen Pioniere und Bastler der elektronischen Musik und Erfinder des Moog-Synthesizers. Musik, Klang und Sound spielen an der KHM traditionell eine zentrale Rolle.

GLASMOOG fungiert als Membran zwischen Kunsthochschule, Nachbarschaft, der Stadt und der Region mit regionaler bis internationaler Ausrichtung. Es geht darum, Verknüpfungen herzustellen: Zum einen werden Künstler*Innen eingeladen, die Impulse von außen ermöglichen, zum anderen wird die Kunsthochschule als Ort sichtbar, an dem künstlerische Ausrichtungen initiiert werden, an dem Entwicklung stattfindet. Im Zentrum der Aktivitäten stehen thematische Ausstellungen und Veranstaltungsreihen, ergänzt durch Künstlergespräche, Performances und Konzerte. Das Programm ist jedoch grundsätzlich für ganz unterschiedliche Formate und experimentelle Ausrichtungen offen – ein Raum, in dem die verschiedensten künstlerischen Praktiken und Prozesse, aber auch alternative Präsentationsformen möglich sind. GLASMOOG ist ein Ort, der sehr flexibel operieren kann und wie eine Art Forschungsstation Mechanismen, Strategien, Haltungen sichtbar, im Sinne von räumlich erlebbar machen kann. Dabei ist der Blick insbesondere auf diejenigen Positionen und Haltungen gerichtet, die sich nicht sofort aufdrängen. Ziel ist ein diskursiver Ort, der – angesiedelt in der Kunsthochschule – ausstrahlt auf Köln und die Region.

GLASMOOG ist Mitglied bei AIC - Art Initiatives Cologne, einem 2016 gegründeten Netzwerk freier, nicht kommerzieller Kunst- und Projekträume, Kunstinitiativen und Festivals in Köln.
(2024)";"Since 2009 Glasmoog is an exhibition space for contemporary art at the Kunsthochschule für Medien Köln (KHM)/Academy of Media Arts Cologne transferring and extending the schools discourses into a public gallery. With about 80 square meters Glasmoog, a former showroom run by the Moog family selling window and mirror glass, provides a simple dense space, primarily characterized by large windows opening to the main street. To name the gallery after its familiar name “Glas Moog” reflects the conversion from a neighborhood shaped by traditional merchants and crafters to a micro-structured art school, that since its fairly new foundation about 25 years ago grew its campus organically into available workshops and spaces. Glasmoog’s exhibition program directed by Heike Ander operates independently inside the school as a station for research in artistic practices, mechanisms and strategies. Glasmoog works locally as an interface between academy, neighborhood, city and the Rhine region. Glasmoog also cooperates with regional and international initiatives, projects, academies and public institutions. Complemented by public events, artist talks, performances and independent presentations various exhibitions by national and international artists and artist groups among them students, graduates and alumni of KHM, have been so far realized. In irregular intervals the series ""Calling Out of Context"" introduces outstanding artistic platforms and organizations. Catalogs, artist books and other printed matter document the exhibitions and are published under Glasmoog Books. (2024)"
