ID;URI;English Name;English Synonyms;German Name;German Synonyms;Parent Project Category;German Breadcrumb;English Breadcrumb;Wikidata ID;GND ID;AAT ID;filmportal.de Category ID 
71;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-71;Soundtrack;;Soundtrack;;55;Film/TV > Soundtrack;Film/TV > Soundtrack;Q217199;4017129-2;300263865;
72;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-72;Feature Film;Movie,Fiction Film;Spielfilm;Szenischer Film,Fiktionaler Film,Kinospielfilm;55;Film/TV > Spielfilm;Film/TV > Feature Film;Q12912091;1286825091;300263847;c00003
73;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-73;Short Film;;Kurzspielfilm;Kurzfilm;72;Film/TV > Spielfilm > Kurzspielfilm;Film/TV > Feature Film > Short Film;Q24862;4166233-7;300263846;
74;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-74;Film Trailer;;Trailer für Film;Kinotrailer,Filmtrailer;55;Film/TV > Trailer für Film;Film/TV > Film Trailer;Q622550;4349797-4;300263866;c00005
75;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-75;Television Programme;TV Program,TV Show,Television Program;TV-Format;Fernsehsendung,TV-Sendung,Fernsehprogramm,TV-Programm;55;Film/TV > TV-Format;Film/TV > Television Program;Q15416;4016842-6;300263432;
76;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-76;Web Series;VLOG,Video Blog,Serial;Webserie;Serielles Format;55;Film/TV > Webserie;Film/TV > Web Series;Q526877;1224905261;;
77;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-77;Commercial;Audio-Visual Advertisement,Advertising Film,Advertisement,Promotional Video;Werbespot;Werbefilm;55;Film/TV > Werbespot;Film/TV > Commercial;Q1869909;4197734-8;;c00002
78;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-78;Art;Fine Art,Visual Art;Kunst;Medienkunst,Bildende Kunst;;Kunst;Art;Q838948;4114333-4;300179869;
79;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-79;Bio Art;;Bio Art;;78;Kunst > Bio Art;Art > Bio Art;Q2561815;1151401021;300443553;
80;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-80;Digital Art;;Digitale Kunst;Computerbasierte Kunst, Computerkunst;78;Kunst > Digitale Kunst;Art > Digital Art;Q860372;4010453-9;300069478;
81;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-81;Augmented Reality;AR;Augmented Reality;Erweiterte Realität;80;Kunst > Digitale Kunst > Augmented Reality;Art > Digital Art > Augmented Reality;Q254183;4715802-5;300387555;
82;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-82;CD-ROM;;CD-ROM;;80;Kunst > Digitale Kunst > CD-ROM;Art > Digital Art > CD-ROM;Q7982;4139307-7;300196583;
83;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-83;Computer Generated Imagery;CGI,Computer Graphics;Computer Generated Imagery;Computergrafik;80;Kunst > Digitale Kunst > Computer Generated Imagery;Art > Digital Art > Computer Generated Imagery;Q6002306;4197506-6;300266307;
84;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-84;Computer Animation;;Computeranimation;;80;Kunst > Digitale Kunst > Computeranimation;Art > Digital Art > Computer Animation;Q1401416;4199710-4;300053161;
85;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-85;Computer Game;Game,Video Game,Serious Game;Computerspiel;Videospiel;80;Kunst > Digitale Kunst > Computerspiel;Art > Digital Art > Computer Game;Q7889;4010457-6;300256888;
86;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-86;Generative Art;;Generative Kunst;;80;Kunst > Digitale Kunst > Generative Kunst;Art > Digital Art > Generative Art;Q1502032;;300266042;
87;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-87;Interactive Art;;Interaktive Kunst;;80;Kunst > Digitale Kunst > Interaktive Kunst;Art > Digital Art > Interactive Art;Q2394336;4557518-6;300266754;
88;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-88;Net Art;NetArt,Internet Art;Netzkunst;Netzprojekt;80;Kunst > Digitale Kunst > Netzkunst;Art > Digital Art > Net Art;Q1569950;4571611-0;300419940;
89;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-89;Software;;Software;Softwarekunst;80;Kunst > Digitale Kunst > Software;Art > Digital Art > Software;Q2864686;;;
90;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/project-categories#project-category-90;User Interface;UI,Interface;User Interface;Benutzerschnittstelle,Mensch-Maschine-Schnittstelle;80;Kunst > Digitale Kunst > User Interface;Art > Digital Art > User Interface;Q47146;4720440-0;;
