ID;URI;English Name;English Synonyms;German Name;German Synonyms;Parent Information Storage Medium Type;German Breadcrumb;English Breadcrumb;Wikidata ID;GND ID;AAT ID;PBCore Link
90;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-90;MiniDisc;MD;MiniDisc;;72;Digitaler Tonträger > MiniDisc;Digital Audio Storage Medium > MiniDisc;Q275079;4644982-6;;
91;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-91;Moving Image Film;Motion Picture Film,Movie Film,Cinematographic Film;Bewegtbild-Film;Kino-Filmmaterial;;Bewegtbild-Film;Moving Image Film;Q110968856;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-film-vocabulary/#Film
92;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-92;8 mm Positive Film;Normal 8,8 mm Film;8 mm Positivfilm;;91;Bewegtbild-Film > 8 mm Positivfilm;Moving Image Film > 8 mm Positive Film;Q270183;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-film-vocabulary/#8mmFilm
93;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-93;8 mm Negative Film;;8 mm Negativfilm;;91;Bewegtbild-Film > 8 mm Negativfilm;Moving Image Film > 8 mm Negative Film;Q270183;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-film-vocabulary/#8mmFilm
94;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-94;Super 8 mm Positive Film;Super 8 mm Film;Super 8 mm Positivfilm;;91;Bewegtbild-Film > Super 8 mm Positivfilm;Moving Image Film > Super 8 mm Positive Film;Q1412320;;300263860;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-film-vocabulary/#Super8mmFilm
95;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-95;9,5 mm Film;9.5 mm Film;9,5 mm Film;;91;Bewegtbild-Film > 9.5 mm Film;Moving Image Film > 9.5 mm Film;Q275007;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-film-vocabulary/#9andaHalfmmFilm
96;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-96;16 mm Positive Film;16 mm Film;16 mm Positivfilm;;91;Bewegtbild-Film > 16 mm Positivfilm;Moving Image Film > 16 mm Positive Film;Q194383;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-film-vocabulary/#16mmFilm
97;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-97;16 mm Negative Film;;16 mm Negativfilm;;91;Bewegtbild-Film > 16 mm Negativfilm;Moving Image Film > 16 mm Negative Film;Q194383;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-film-vocabulary/#16mmFilm
98;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-98;Super 16 mm Positive Film;Super 16 mm Film;Super 16 mm Positivfilm;;91;Bewegtbild-Film > Super 16 mm Positivfilm;Moving Image Film > Super 16 mm Positive Film;Q2713357;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-film-vocabulary/#Super16mmFilm
99;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-99;Super 16 mm Negative Film;;Super 16 mm Negativfilm;;91;Bewegtbild-Film > Super 16 mm Negativfilm;Moving Image Film > Super 16 mm Negative Film;Q2713357;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-film-vocabulary/#Super16mmFilm
100;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-100;22 mm Positive Film;22 mm Film;22 mm Positivfilm;;91;Bewegtbild-Film > 22 mm Positivfilm;Moving Image Film > 22 mm Positive Film;Q122811318;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-film-vocabulary/#22mmFilm
101;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-101;28 mm Positive Film;28 mm Film;28 mm Positivfilm;;91;Bewegtbild-Film > 28 mm Positivfilm;Moving Image Film > 28 mm Positive Film;Q122811337;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-film-vocabulary/#28mmFilm
102;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-102;35 mm Positive Film;35 mm Film;35 mm Positivfilm;;91;Bewegtbild-Film > 35 mm Positivfilm;Moving Image Film > 35 mm Positive Film;Q226528;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-film-vocabulary/#35mmFilm
103;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-103;35 mm Negative Film;;35 mm Negativfilm;;91;Bewegtbild-Film > 35 mm Negativfilm;Moving Image Film > 35 mm Negative Film;Q226528;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-film-vocabulary/#35mmFilm
104;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-104;70 mm Positive Film;70 mm Film;70 mm Positivfilm;;91;Bewegtbild-Film > 70 mm Positivfilm;Moving Image Film > 70 mm Positive Film;Q261242;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-film-vocabulary/#70mmFilm
105;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-105;70 mm Negative Film;;70 mm Negativfilm;;91;Bewegtbild-Film > 70 mm Negativfilm;Moving Image Film > 70 mm Negative Film;Q261242;;;http://pbcore.org/pbcore-controlled-vocabularies/instantiationphysical-film-vocabulary/#70mmFilm
106;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-106;Photographic Film;;Fotografischer Film;;;Fotografischer Film;Photographic Film;Q6293;;;
107;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-107;APS Film;;APS-Film;;106;Fotografischer Film > APS-Film;Photographic Film > APS Film;Q15781213;;;
108;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-108;35 mm Photo Film;135 Film,Small Format Film;Kleinbildfilm;;106;Fotografischer Film > Kleinbildfilm;Photographic Film > 35 mm Photo Film;Q1051557;;300263816;
109;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-109;35 mm Reversal Photographic Film;35 mm Slide Film;Diapositiv-Kleinbildfilm;Umkehr-Kleinbildfilm;108;Fotografischer Film > Kleinbildfilm > Diapositiv-Kleinbildfilm;Photographic Film > 35 mm Photo Film > 35 mm Reversal Photographic Film;Q166816;;;
110;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-110;35 mm Negative Photographic Film;;Negativ-Kleinbildfilm;;108;Fotografischer Film > Kleinbildfilm > Negativ-Kleinbildfilm;Photographic Film > 35 mm Photo Film > 35 mm Negative Photographic Film;Q595597;;;
111;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-111;35 mm Black-and-White Photographic Film;;Schwarzweiß-Kleinbildfilm;;108;Fotografischer Film > Kleinbildfilm > Schwarzweiß-Kleinbildfilm;Photographic Film > 35 mm Photo Film > 35 mm Black-and-White Photographic Film;Q2254548;;;
112;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-112;Medium Format;;Mittelformatfilm;;106;Fotografischer Film > Mittelformatfilm;Photographic Film > Medium Format;Q1146074;;;
113;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-113;Medium Format Reversal Film;;Diapositiv-Mittelformatfilm;;112;Fotografischer Film > Mittelformatfilm > Diapositiv-Mittelformatfilm;Photographic Film > Medium Format > Medium Format Reversal Film;Q166816;;;
114;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-114;Medium Format Negative Film;;Negativ-Mittelformatfilm;;112;Fotografischer Film > Mittelformatfilm > Negativ-Mittelformatfilm;Photographic Film > Medium Format > Medium Format Negative Film;Q595597;;;
115;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-115;Medium Format Black-and-White Film;;Schwarzweiß-Mittelformatfilm;;112;Fotografischer Film > Mittelformatfilm > Schwarzweiß-Mittelformatfilm;Photographic Film > Medium Format > Medium Format Black-and-White Film;Q2254548;;;
116;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-116;Large Format;Planfilm;Großformatfilm;;106;Fotografischer Film > Großformatfilm;Photographic Film > Large Format;Q1189460;;;
117;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-117;Microform;;Mikroform;;;Mikroform;Microform;Q830450;;;
118;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-118;Mikrofiche;Mikrofiche;Mikroplanfilm;Mikrofiche;117;Mikroform > Mikroplanfilm;Microform > Mikrofiche;Q2368076;;;
119;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-119;Microfilm;;Mikrofilm;;117;Mikroform > Mikrofilm;Microform > Microfilm;Q12498524;;;
120;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-120;Optical Storage Medium;;Optischer Datenträger;;120;Optischer Datenträger;Optical Storage Medium;Q2248059;;;
121;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-121;Data DVD;Data DVD+R,Data DVD+R DL,Data DVD-R,Data DVD-RW,Data DVD+RW;Daten-DVD;;120;Optischer Datenträger > Daten-DVD;Optical Storage Medium > Data DVD;Q5294;;;
122;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-122;Data Blu-ray;BD-R ,BD-RE;Daten-Blu-ray;Daten-BD;120;Optischer Datenträger > Daten-Blu-ray;Optical Storage Medium > Data Blu-ray;Q47770;;;
123;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-123;M-Disc;;M-Disc;;120;Optischer Datenträger > M-Disc;Optical Storage Medium > M-Disc;Q15727650;;;
124;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-124;Data CD;CD-R,CD+R,CD-RW;Daten-CD;;120;Optischer Datenträger > Daten-CD;Optical Storage Medium > Data CD;Q7982;;;
125;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-125;Magnetic Storage Medium;;Magnetischer Datenträger;;;Magnetischer Datenträger;Magnetic Storage Medium;Q1364527;;;
126;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-126;"3,5"" Floppy Disk";3.5 Inch Floppy Disk;"3,5"" Diskette";"3,5 Zoll Diskette";125;"Magnetischer Datenträger > 3,5"" Diskette";"Magnetic Storage Medium > 3,5"" Floppy Disk";Q37753524;;;
127;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-127;"5,25"" Floppy Disk";5.25 Inch Floppy Disk;"5,25"" Diskette";"5,25 Zoll Diskette";125;"Magnetischer Datenträger > 5,25"" Diskette";"Magnetic Storage Medium > 5,25"" Floppy Disk";Q55194959;;;
128;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-128;HD;HDD,Hard Disk;HD;Festplatte;125;Magnetischer Datenträger > HD;Magnetic Storage Medium > HD;Q4439;4192018-1;300266294;
129;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-129;Solid State Storage Medium;;Festkörper-Datenträger;;;Festkörper-Datenträger;Solid State Storage Medium;Q19280237;;;
130;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-130;SSD;Solid State Storage;SSD;Solid-State-Speicher;129;Festkörper-Datenträger > SSD;Solid State Storage Medium > SSD;Q487343;;;
131;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-131;USB Flash Drive;Thumb Drive,USB Thumb Drive,Flash Memory;USB-Stick;USB-Stick;129;Festkörper-Datenträger > USB-Stick;Solid State Storage Medium > USB Flash Drive;Q1647694;4770596-6;300404359;
132;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-132;Text Medium;Record;Schriftstück;Buch,Publikation,Akte,Brief,Notiz,Beleg,Formular,Urkunde,technische Zeichnung,Dokument;;Schriftstück;Text Medium;Q49848;4180009-6;;
133;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-133;Periodical;;Periodikum;;132;Schriftstück > Periodikum;Text Medium > Periodical;Q1002697;;300026657;
134;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-134;Monograph;;Monografie;;132;Schriftstück > Monografie;Text Medium > Monograph;Q193495;4454906-4;300060417;
135;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/information-storage-medium-types#information-storage-medium-type-135;Musical Notation;;Musiknotation;;132;Schriftstück > Musiknotation;Text Medium > Musical Notation;Q233861;;300417622;
