ID;URI;English Name;German Name;Wikidata ID;GND ID;AAT ID
37;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-37;Input Device;Eingabegerät;Q864114;4148867-2;300168267
38;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-38;Electronic Device;elektronisches Gerät;Q2858615;;
39;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-39;Movie Camera;Filmkamera;Q335095;4154362-2;300022644
40;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-40;Additional Camera Equipment;Kamerazubehör;Q131375504;;
41;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-41;Headphones;Kopfhörer;Q186819;4165262-9;300266751
42;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-42;Lighting Equipment;Lichtequipment;Q131375480;;
43;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-43;Objective (Optics);Objektiv;Q3880557;4123864-3;
44;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-44;Robot;Roboter;Q11012;4050208-9;300391077
45;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-45;Sensor;Sensor;Q167676;4038824-4;300379784
46;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-46;Other Equipment;Sonstiges Equipment;Q55107540;;
47;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-47;Tripod;Stativ;Q1444534;;300164679
48;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-48;Electric Power Source;Stromquelle;Q1753139;;
49;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-49;Studio Equipment;Studioequipment;Q131375449;;
50;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-50;Tablet Computer;Tabletcomputer;Q155972;7602964-5;300387132
51;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-51;Physical Tool;Werkzeug;Q39546;4065596-9;300024841
52;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-52;Monitor;Monitor;Q5290;;
53;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-53;Record Player;Schallplattenspieler;Q17591720;4174890-6;300310108
54;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-54;Electronic Component;elektronisches Bauelement;Q11653;4014360-0;
55;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-55;Embroidery Machine;Stickmaschiene;Q1790385;4372998-8;300425090
56;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-56;Programming Language;Programmiersprache;Q9143;4047409-4;
57;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-57;Encoder;Encoder;Q42586063;;300425101
58;https://gitlab.git.nrw/arkumu/arkumu-exchange-portal/-/wikis/controlled-vocabularies/equipment-types#equipment-type-58;Vision Mixer;Bildmischer;Q860964;;
